,days,seconds,since_iso,since_t,time,users
g010,65,5635475,2023-01-03T16:31:26.507220,1672763486,5:24,1
g007,64,5544392,2023-01-04T17:49:29.514373,1672854569,4:6,1
h002,78,6761674,2022-12-21T15:41:27.512348,1671637287,6:14,1
g005,107,9254308,2022-11-22T19:17:33.515597,1669144653,2:38,1
g003,58,5028198,2023-01-10T17:12:43.515368,1673370763,4:43,1
g008,58,5028249,2023-01-10T17:11:52.515924,1673370712,4:44,1
g006,58,5028221,2023-01-10T17:12:20.516397,1673370740,4:43,1
g004,58,5028117,2023-01-10T17:14:04.516721,1673370844,4:41,1
g002,49,4316560,2023-01-18T22:53:21.516967,1674082401,23:2,1
g009,58,5027965,2023-01-10T17:16:36.519876,1673370996,4:39,1
cluster-storage3,106,9181249,2022-11-23T15:35:12.547214,1669217712,6:20,1
dsi-cluster-mgmt.cs.uchicago.edu,115,9954821,2022-11-14T16:42:20.547220,1668444140,5:13,2
ctl2,107,9252271,2022-11-22T19:51:30.548723,1669146690,2:4,1
dsi-db,107,9255350,2022-11-22T19:00:11.548751,1669143611,2:55,1
cluster-storage2,106,9181287,2022-11-23T15:34:34.550432,1669217674,6:21,1
cluster-storage1,106,9174509,2022-11-23T17:27:32.549996,1669224452,4:28,1
ctl1,107,9251392,2022-11-22T20:06:09.550251,1669147569,1:49,1
dhcp-10-143-4-33.a.cs.uchicago.edu,96,8375669,2022-12-02T23:21:32.602668,1670023292,22:34,24
