,days,seconds,since_iso,since_t,time,users,cluster-storage3,"The minions may not have all finished running and any remaining minions will return upon completion. To look up the return data for this job later, run the following command"
g008,59,5107941,2023-01-10T17:11:52.782343,1673370712,2:52,1,,
h002,79,6841367,2022-12-21T15:41:26.788755,1671637286,4:22,1,,
g005,108,9334000,2022-11-22T19:17:33.787312,1669144653,0:46,1,,
g003,59,5107890,2023-01-10T17:12:43.787734,1673370763,2:51,1,,
g004,59,5107809,2023-01-10T17:14:04.796361,1673370844,2:50,1,,
g010,66,5715167,2023-01-03T16:31:26.778532,1672763486,3:32,1,,
g006,59,5107913,2023-01-10T17:12:20.806125,1673370740,2:51,1,,
g002,50,4396252,2023-01-18T22:53:21.805635,1674082401,21:10,1,,
g007,65,5624084,2023-01-04T17:49:29.809283,1672854569,2:14,1,,
g009,59,5107658,2023-01-10T17:16:35.813213,1673370995,2:47,1,,
ctl2,108,9331963,2022-11-22T19:51:30.848022,1669146690,0:12,1,,
dsi-cluster-mgmt.cs.uchicago.edu,116,10034513,2022-11-14T16:42:20.856313,1668444140,3:21,1,,
ctl1,107,9331084,2022-11-22T20:06:09.860004,1669147569,23:58,1,,
cluster-storage2,107,9260979,2022-11-23T15:34:34.863821,1669217674,4:29,1,,
dsi-db,108,9335042,2022-11-22T19:00:11.864479,1669143611,1:4,1,,
cluster-storage1,107,9254201,2022-11-23T17:27:32.882878,1669224452,2:36,1,,
